"Month.Year","All.Jobs..Male.and.Female....Trend","All.Jobs..Male.and.Female....Seasonally.Adjusted","All.Jobs..Male....Trend","All.Jobs..Male....Seasonally.Adjusted","All.Jobs..Female....Trend","All.Jobs..Female....Seasonally.Adjusted","Employed.Full.time..Male.and.Female....Trend","Employed.Full.time..Male.and.Female....Seasonally.Adjusted","Employed.Full.time..Male....Trend","Employed.Full.time..Male....Seasonally.Adjusted","Employed.Full.time..Female....Trend","Employed.Full.time..Female....Seasonally.Adjusted","Employed.Part.time..Male.and.Female....Trend","Employed.Part.time..Male.and.Female....Seasonally.Adjusted","Employed.Part.time..Male....Trend","Employed.Part.time..Male....Seasonally.Adjusted","Employed.Part.time..Female....Trend","Employed.Part.time..Female....Seasonally.Adjusted","New.South.Wales...Trend","New.South.Wales...Seasonally.Adjusted","Victoria...Trend","Victoria...Seasonally.Adjusted","Queensland...Trend","Queensland...Seasonally.Adjusted","South.Australia...Trend","South.Australia...Seasonally.Adjusted","Western.Australia...Trend","Western.Australia...Seasonally.Adjusted","Tasmania...Trend","Tasmania...Seasonally.Adjusted","Northern.Territory...Trend","Australian.Capital.Territory"
"Apr-15",1631776.7,1631872.8,988686.6,987482.6,643090.1,644390.2,1370846.3,1373060.2,910926.1,910657.4,459920.3,462402.7,260930.4,258812.6,77760.6,76825.1,183169.8,181987.5,509270.1,509454.6,408480.3,410087,333894.8,332354,108392.4,108390.7,189912.2,191015.9,31456.7,31276.8,20552.6,28756.3
"May-15",1633288.5,1634717.6,988615.8,987882.1,644672.8,646835.5,1371608.7,1372006.9,910394.1,909239.6,461214.5,462767.4,261679.9,262710.7,78221.7,78642.6,183458.2,184068.1,511987.3,511468.4,408620.5,405779.8,334129.9,336411.1,108005.4,108147.4,189478.9,192231.9,31414.4,31076.9,20597,28773.8
"Jun-15",1634722,1630991.5,988665.5,988755.1,646056.4,642236.3,1372091.3,1369418,909985.2,909141.5,462106.1,460276.4,262630.7,261573.5,78680.3,79613.6,183950.3,181959.9,514785.5,514273.9,408633.7,407523.1,334289.2,334900.5,107706.1,105232.7,188739.5,188521.3,31443.9,31362.6,20572.1,28764.8
"Jul-15",1636782.9,1637161.1,989107.8,988575.2,647675.1,648585.9,1373068.1,1372534.4,910004.9,909538.5,463063.2,462995.9,263714.8,264626.7,79102.9,79036.7,184611.9,185590,517435.7,525281.9,408808.2,409976,334605.5,325726.9,107543.3,107439.5,187685.3,187717.5,31520.8,31700.7,20513.8,28757
"Aug-15",1639755.3,1634615,990032.7,986577.2,649722.6,648037.8,1374958.8,1370154.8,910529,907646.2,464429.8,462508.6,264796.5,264460.2,79503.6,78931.1,185292.8,185529.1,520015.6,521579.6,409472.1,408197.6,335184.2,332253.1,107526.7,106873.4,186482.5,185736.7,31622.4,31510.3,20458.5,28770
"Sep-15",1643512.7,1645747.3,991294.7,993698.9,652218,652048.4,1377766.3,1380705.5,911392.1,913411.5,466374.2,467294.1,265746.4,265041.8,79902.6,80287.4,185843.9,184754.3,522731.2,522857.3,410651.1,409995.9,335910.3,337329.1,107620.2,108459,185364.8,185791.3,31707.3,32047.5,20413.9,28808.3
"Oct-15",1647722.5,1652272.4,992681.5,996451.1,655041,655821.3,1381043.7,1385163.3,912309.7,916812,468734,468351.2,266678.8,267109.1,80371.8,79639,186307.1,187470,525641.6,522732.6,412110.4,415036.5,336642.5,337554.2,107776.7,107114.7,184594.8,188680.9,31740.8,31775.4,20373.5,28878.4
"Nov-15",1651462.8,1649729.2,993695.6,990491.3,657767.2,659237.9,1383857.2,1381282,912728.4,908873.3,471128.8,472408.7,267605.5,268447.2,80967.2,81618,186638.4,186829.2,528386.4,527483.8,413475.6,412736.4,337061.2,337028.7,107965.2,108835.2,184164.7,183133.8,31709.2,31407.3,20324.6,28978.2
"Dec-15",1654140.3,1650075.6,994289.5,993455.8,659850.8,656619.9,1385695.5,1383496.5,912626.9,912569.9,473068.5,470926.5,268444.8,266579.2,81662.5,80885.8,186782.3,185693.3,530538.5,531571.4,414612.1,408332.2,337081.4,337603.4,108142.5,107589.8,183831.3,183670,31634.8,31563.9,20266.5,29094.6
"Jan-16",1655572.3,1658910.3,994514.8,994924.2,661057.6,663986.1,1386456.4,1388378.6,912146.2,911415.6,474310.3,476963,269115.9,270531.6,82368.6,83508.6,186747.3,187023,531743.2,534245.8,415614,419278.9,336683.5,332080.4,108234.8,108126.4,183440,184006.7,31539.3,31840.1,20215.7,29195.8
"Feb-16",1655972.7,1660657.2,994390.8,997567.2,661581.9,663090,1386248.7,1390441.9,911369.8,915262.3,474878.9,475179.6,269723.9,270215.3,83020.9,82304.9,186703,187910.4,531954.2,534120.1,416525.1,417440.9,336110.4,336082.3,108214.7,108301.6,182887.5,183945.1,31429.9,31465.1,20206.6,29282.2
"Mar-16",1655908,1654234.8,994253,992780.2,661655,661454.6,1385583.7,1383767.7,910621.9,909070.5,474961.8,474697.2,270324.2,270467.2,83631.1,83709.7,186693.2,186757.4,531245.5,530699.9,417624.9,416341.2,335686,334583.6,108119,108654.5,182179,182881,31330.5,31366,20254.6,29371.8
"Apr-16",1655733,1628189.2,994159.8,978118.1,661573.2,650071.1,1384654.7,1355179.3,909949.1,890719.9,474705.6,464459.4,271078.3,273009.9,84210.7,87398.3,186867.6,185611.6,529994.4,525761.8,419202.1,404778.7,335485.1,329242.3,107996.5,108173.2,181340.8,179446.6,31285.9,30933,20340.3,29485.4
"May-16",1655542.9,1660928,994010.5,1000732.1,661532.4,660195.9,1383428.8,1390755.3,909228.6,916192.1,474200.2,474563.1,272114.1,270172.8,84781.9,84540,187332.2,185632.8,528805.8,529535.1,421103.6,420432.4,335303.4,340968.6,107914.8,107609.9,180468.3,180633,31306.8,31409.7,20442.4,29590.2
"Jun-16",1655443.6,1655311.6,993798.9,992315.9,661644.8,662995.7,1382018.2,1382323.4,908443.4,908733.6,473574.9,473589.8,273425.4,272988.2,85355.5,83582.3,188069.9,189405.9,528044.6,528724.6,423015.5,423948.6,335025.6,333303.3,107974.8,107256,179726.1,180523.3,31383.7,31278.5,20537.6,29668.8
