REGION,MONTH,YEAR,VALUE
Australian Capital Territory,August,2017,30839.4
Australian Capital Territory,September,2017,31069.5
Australian Capital Territory,October,2017,31305.3
Australian Capital Territory,November,2017,31525.6
Australian Capital Territory,December,2017,31681.8
Australian Capital Territory,January,2018,31735.7
Australian Capital Territory,February,2018,31715.7
Australian Capital Territory,March,2018,31651.9
Australian Capital Territory,April,2018,31553.6
Australian Capital Territory,May,2018,31451.4
Australian Capital Territory,June,2018,31377.5
Australian Capital Territory,July,2018,31355.7
Australian Capital Territory,August,2018,31369.4
Australian Capital Territory,September,2018,31359.8
Australian Capital Territory,October,2018,31308.9
Australian Capital Territory,November,2018,31235.4
Australian Capital Territory,December,2018,31174.8
Australian Capital Territory,January,2019,31185.8
Australian Capital Territory,February,2019,31265.5
Australian Capital Territory,March,2019,31380.8
Australian Capital Territory,April,2019,31515.5
Australian Capital Territory,May,2019,31652.4
Australian Capital Territory,June,2019,31777.4
Australian Capital Territory,July,2019,31889.8
Australian Capital Territory,August,2019,31985.7
Australian Capital Territory,September,2019,32092.1
Australian Capital Territory,October,2019,32195.6
Australian Capital Territory,November,2019,32291.4
Australian Capital Territory,December,2019,32391.5
Australian Capital Territory,January,2020,32497.5
Australian Capital Territory,February,2020,32625.8
Australian Capital Territory,March,2020,32802.1
Australian Capital Territory,April,2020,32991.8
Australian Capital Territory,May,2020,33183.8
Australian Capital Territory,June,2020,33369.1
Australian Capital Territory,July,2020,33565.2
Australian Capital Territory,August,2020,33775.4
Australian Capital Territory,September,2020,33962.2
Australian Capital Territory,October,2020,34085.3
Australian Capital Territory,November,2020,34127.3
Australian Capital Territory,December,2020,34090.5
Australian Capital Territory,January,2021,34004.7
Australian Capital Territory,February,2021,33893.2
Australian Capital Territory,March,2021,33777.5
Australian Capital Territory,April,2021,33652.4
Australian Capital Territory,May,2021,33511.1
Australian Capital Territory,June,2021,33325.6
Australian Capital Territory,July,2021,33124.7
Australian Capital Territory,August,2021,32910.9
Australian Capital Territory,September,2021,32740
Australian Capital Territory,October,2021,32622.5
Australian Capital Territory,November,2021,32551.5
Australian Capital Territory,December,2021,32488.8
Australian Capital Territory,January,2022,32422.6
Australian Capital Territory,February,2022,34230.4
Australian Capital Territory,March,2022,34153
Australian Capital Territory,April,2022,34084.7
Australian Capital Territory,May,2022,34080.5
Australian Capital Territory,June,2022,34154.3
Australian Capital Territory,July,2022,34335.2
Australian Capital Territory,August,2022,34605.7
Australian Capital Territory,September,2022,34939.5
Australian Capital Territory,October,2022,35260.2
Australian Capital Territory,November,2022,35560.6
Australian Capital Territory,December,2022,35814.8
Australian Capital Territory,January,2023,36001.5
Australian Capital Territory,February,2023,36098.6
Australian Capital Territory,March,2023,36141.7
Australian Capital Territory,April,2023,36137.4
Australian Capital Territory,May,2023,36087.6
Australian Capital Territory,June,2023,35987.6
Australian Capital Territory,July,2023,35852.8
Australian Capital Territory,August,2023,35707.1
Australian Capital Territory,September,2023,35606.9
Australian Capital Territory,October,2023,35574.5
Australian Capital Territory,November,2023,35592.6
Australian Capital Territory,December,2023,35664.4
Australian Capital Territory,January,2024,35818.6
Australian Capital Territory,February,2024,36014
Australian Capital Territory,March,2024,36203.4
Australian Capital Territory,April,2024,36369.8
Australian Capital Territory,May,2024,36529.9
Australian Capital Territory,June,2024,36688.9
Australian Capital Territory,July,2024,36837.3
Australian Capital Territory,August,2024,36987.6
