X,Monthly.hours.worked.in.all.jobs....Persons..,Monthly.hours.worked.in.all.jobs....Persons...1,Monthly.hours.worked.in.all.jobs......Males..,Monthly.hours.worked.in.all.jobs......Males...1,Monthly.hours.worked.in.all.jobs......Females..,Monthly.hours.worked.in.all.jobs......Females...1,X..Monthly.hours.worked.in.all.jobs..employed.full.time.....Persons..,X..Monthly.hours.worked.in.all.jobs..employed.full.time.....Persons...1,X..Monthly.hours.worked.in.all.jobs..employed.full.time.......Males..,X..Monthly.hours.worked.in.all.jobs..employed.full.time.......Males...1,X..Monthly.hours.worked.in.all.jobs..employed.full.time.......Females..,X..Monthly.hours.worked.in.all.jobs..employed.full.time.......Females...1,X..Monthly.hours.worked.in.all.jobs..employed.part.time.....Persons..,X..Monthly.hours.worked.in.all.jobs..employed.part.time.....Persons...1,X..Monthly.hours.worked.in.all.jobs..employed.part.time.......Males..,X..Monthly.hours.worked.in.all.jobs..employed.part.time.......Males...1,X..Monthly.hours.worked.in.all.jobs..employed.part.time.......Females..,X..Monthly.hours.worked.in.all.jobs..employed.part.time.......Females...1,Monthly.hours.worked.in.all.jobs......New.South.Wales..,Monthly.hours.worked.in.all.jobs......New.South.Wales...1,Monthly.hours.worked.in.all.jobs......Victoria..,Monthly.hours.worked.in.all.jobs......Victoria...1,Monthly.hours.worked.in.all.jobs......Queensland..,Monthly.hours.worked.in.all.jobs......Queensland...1,Monthly.hours.worked.in.all.jobs......South.Australia..,Monthly.hours.worked.in.all.jobs......South.Australia...1,Monthly.hours.worked.in.all.jobs......Western.Australia..,Monthly.hours.worked.in.all.jobs......Western.Australia...1,Monthly.hours.worked.in.all.jobs......Tasmania..,Monthly.hours.worked.in.all.jobs......Tasmania...1,Monthly.hours.worked.in.all.jobs......Northern.Territory..,Monthly.hours.worked.in.all.jobs......Australian.Capital.Territory..
Mar-80,942631.5,940865.3,658131.8,655658.5,284499.7,285206.8,879418.6,877501,644162.3,641914.1,235256.3,235586.9,63212.9,63364.3,13969.5,13744.3,49243.4,49619.9,335009.3,336390.2,253969.2,250276.2,142253.5,141873.7,81869.6,82096.4,81982.2,81973.5,25650.6,25474.4,8110.1,14187.8
Apr-80,945575.5,938954.6,659268.6,656925.3,286306.9,282029.2,882169.4,876225.7,645489.3,643161.8,236680.1,233063.9,63406.1,62728.8,13779.3,13763.5,49626.8,48965.3,335905.4,334247.8,254886.2,252827.1,142988.8,143330.3,82077.3,80328.2,82339.2,80386.8,25666.4,25470.9,8156.5,14218.8
May-80,948760.8,946526.9,661036.9,660297.7,287724,286229.3,885091.8,886273.9,647434.2,647833,237657.7,238440.8,63669,60253.1,13602.7,12464.6,50066.3,47788.4,336844.9,336091,255787.5,256764,143750.9,141543,82388.3,81951.2,82713.3,82354.9,25767.2,25785.6,8167.5,14238.4
Jun-80,951863,979740.6,663317.4,684901.8,288545.7,294838.8,887848.7,915875.9,649800.9,671691,238047.8,244184.9,64014.3,63864.7,13516.5,13210.8,50497.9,50653.9,337751.4,348514.8,256372.5,265957.5,144463.6,147460.6,82767.5,84298,83120.8,83175,25891.1,27330.2,8152.6,14247.3
Jul-80,954450.7,954869.5,665714.1,665779.9,288736.6,289089.6,890001.3,890028.9,652136.1,652197,237865.2,237831.9,64449.4,64840.5,13578.1,13582.9,50871.3,51257.6,338481.5,338316.7,256501.3,256022.4,145105.9,145634.6,83097.8,82534.4,83564.3,83900,25983.5,25948.5,8127.3,14246.9
Aug-80,956235.7,952732.8,667827,665021.7,288408.7,287711.1,891332.6,888006.7,654066.9,651298.8,237265.6,236707.9,64903.1,64726.1,13760,13722.9,51143.1,51003.2,338856.5,336933.4,256266.3,257043.4,145582.8,143470.9,83298.5,83110.8,84041.3,84031.7,26022.3,26183.2,8107.5,14249.9
Sep-80,957236.8,956840.8,669413.1,670029.8,287823.7,286811,891968.3,891007.4,655444.2,655821.8,236524.1,235185.7,65268.5,65833.3,13968.9,14208,51299.6,51625.3,338898.5,339829.2,255825.4,255479.5,145830.3,146631.1,83374.8,83806.7,84531.2,82650.2,26011.7,26165.8,8124.6,14271.8
Oct-80,957635.8,961905,670440.9,673764,287194.9,288141.1,892133.5,897187.1,656307.8,660009.3,235825.7,237177.8,65502.3,64717.9,14133.1,13754.6,51369.2,50963.3,338676.1,340094.3,255345,254082.1,145842.6,145686.7,83342.1,84336.6,84984.1,89466.7,25973.6,25737.6,8204.2,14317.3
Nov-80,957803.8,956081.7,671079.9,670200.5,286723.9,285881.2,892163.6,889511.3,656863.8,655237.1,235299.7,234274.2,65640.2,66570.4,14216.1,14963.4,51424.2,51607,338419.9,337989,255096.2,255657,145729.2,146329.6,83261.9,82332.9,85387.9,85702.3,25953.5,25611.6,8354.8,14388.2
Dec-80,957992.1,957530.8,671450.3,670991.5,286541.8,286539.3,892227.6,891532.5,657234.8,656307.7,234992.8,235224.8,65764.5,65998.3,14215.5,14683.8,51549,51314.5,338355.7,337933.4,255180.9,255589.1,145584.4,145378.6,83221.4,83149.6,85688.3,85931.1,25969.7,26630,8544.1,14484.9
