"REGION","MONTH.YEAR","VALUE"
"New.South.Wales...Trend","Oct-23",599579.7
"New.South.Wales...Trend","Nov-23",598456
"New.South.Wales...Trend","Dec-23",597954.2
"New.South.Wales...Trend","Jan-24",598063.6
"New.South.Wales...Trend","Feb-24",598592.8
"New.South.Wales...Trend","Mar-24",599303.7
"New.South.Wales...Trend","Apr-24",600071.2
"New.South.Wales...Trend","May-24",600854.9
"New.South.Wales...Trend","Jun-24",601577.6
"New.South.Wales...Trend","Jul-24",602230.3
"New.South.Wales...Trend","Aug-24",602949.2
"Victoria...Trend","Jan-14",395777.8
"Victoria...Trend","Feb-14",395564.4
"Victoria...Trend","Mar-14",395728.2
"Victoria...Trend","Apr-14",396205.1
"Victoria...Trend","May-14",396824.3
"Victoria...Trend","Jun-14",397311.3
"Victoria...Trend","Jul-14",397584.8
"Victoria...Trend","Aug-14",397694.8
"Victoria...Trend","Sep-14",397847.3
"Victoria...Trend","Oct-14",398354.9
"Victoria...Trend","Nov-14",399589.4
"Victoria...Trend","Dec-14",401588.7
"Victoria...Trend","Jan-15",403874.3
"Victoria...Trend","Feb-15",406023.4
"Victoria...Trend","Mar-15",407648.9
"Victoria...Trend","Apr-15",408480.3
"Victoria...Trend","May-15",408620.5
"Victoria...Trend","Jun-15",408633.7
"Victoria...Trend","Jul-15",408808.2
"Victoria...Trend","Aug-15",409472.1
"Victoria...Trend","Sep-15",410651.1
"Victoria...Trend","Oct-15",412110.4
"Victoria...Trend","Nov-15",413475.6
"Victoria...Trend","Dec-15",414612.1
"Victoria...Trend","Jan-16",415614
"Victoria...Trend","Feb-16",416525.1
"Victoria...Trend","Mar-16",417624.9
"Victoria...Trend","Apr-16",419202.1
"Victoria...Trend","May-16",421103.6
"Victoria...Trend","Jun-16",423015.5
"Victoria...Trend","Jul-16",424823.6
"Victoria...Trend","Aug-16",426459.1
"Victoria...Trend","Sep-16",427681.6
"Victoria...Trend","Oct-16",428606.3
"Victoria...Trend","Nov-16",429351.5
"Victoria...Trend","Dec-16",430113.3
"Victoria...Trend","Jan-17",431028.3
"Victoria...Trend","Feb-17",432108.9
"Victoria...Trend","Mar-17",433248.2
